make,model,colour,capacity,network,grade,condition
BLU,"CLASSIC TOBACCO 10ML 18MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",22
BLU,"CLASSIC TOBACCO 10ML 18MG BOTTLE","Brand New","Brand New","Not Applicable",Black,"Not Applicable",52
BLU,"CLEAROMISER 1.8 ML","Brand New","Brand New","Not Applicable",Black,"Not Applicable",102
BLU,"E-LIQUID BLUBERRY 10 ML BOTTLE 18MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",6
BLU,"E-LIQUID MENTHOL 10 ML 18MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",20
BLU,"E-LIQUID MENTHOL 10 ML BOTTLE 18MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",38
BLU,"MENTHOL REFILL - 3 PACK 18MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",162
BLU,"PLUS+ MENTHOL 1.8 % 2 PACK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",20
BLU,"PLUS+ MENTHOL 1.8 % 5X2 PACK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",1
BLU,"PLUS+ TOBACCO 2 PACK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",37
BLU,"PLUS+ TOBACCO 5X2 PACK ","Brand New","Brand New","Not Applicable",Black,"Not Applicable",3
BLU,"PRO KIT E-CIGARETTE TANK - CLASSIC TOBACCO 18MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",64
BLU,"STARTER KIT CLASSIC TOBACCO RE-CHARGEABLE 18MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",195
BOCOIN,225,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Silver,Damaged,1
"BOOM BEAT","BLUETOOTH SPEAKER",Working,"Grade B - Good Condition","Not Applicable",Pink,"Not Applicable",1
BP,"Aquaruis E5",Working,"Grade B - Good Condition",16GB,White,Unlocked,1
BQ,"AQUARIS E45",BER-Scrap,"Grade B - Good Condition","Not Applicable",White,Damaged,1
BQ,"AQUARIS U","iOS 7 Locked","Grade A - Very Good Condition",16GB,Grey,Unlocked,26
BQ,"AQUARIS X5","Non-working - Need Repair - Software","Grade B - Good Condition",16GB,Black,O2,4
BRAGI,"THE DASH B1000","Brand New","Brand New","Not Applicable",Black,"Not Applicable",76
BRAUN,"NIZO 2056 SUPER 8",Working,"Grade C - Acceptable Condition","Not Applicable",Silver,"Not Applicable",1
BRAUN,"NIZO 3056 SUPER 8",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
BRAUN,"NIZO 4080 SUPER 8",Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",1
BRAUN,"NIZO 6080 SUPER 8",Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",1
BRAUN,"NIZO INTEGRAL 5 SUPER 8",Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",1
BRAUN,"NIZO INTEGRAL 7 SUPER 8",Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",1
BRAVEN,"570 PORTABLE BLUETOOTH WIRELESS SPEAKER","Brand New","Brand New","Not Applicable",White,"Not Applicable",50
BRONICKA,"ZENZA BRONIKA SQ-I 6X6",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Brother,HL-21,Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",1
BT,"WHOLE HOME WI-FI (ITEM CODE 088269)",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",3
BT,"WHOLE HOME WI-FI (ITEM CODE 091073)",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",1
BURY,"ACTIVE CRADLE UNIVERSAL - 0-02-37-3300-0",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",7
BURY,"MICRO USB S/C ADAPTER FOR IPHONE 5/6","Brand New","Brand New","Not Applicable",Black,"Not Applicable",54
BURY,"TAKE&TALK UNIVERSAL XXL","Brand New","Brand New","Not Applicable",Black,"Not Applicable",11
BURY,"THB BURY SYSTEM 8 TAKE&TALK CRADLE FOR IPHONE 5 - 0-02-22-0315-0","Brand New","Brand New","Not Applicable",Black,"Not Applicable",62
BURY,"UNI SYSTEM 8",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",37
BURY,"UNI SYSTEM 8 TAKE & TALK FOR BLACKBERRY 8300",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
BURY,"UNI SYSTEM 8 TAKE & TALK FOR BLACKBERRY 8520/9300",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",3
BURY,"UNI SYSTEM 8 TAKE & TALK FOR BLACKBERRY TORCH 9860",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",15
BURY,"UNI SYSTEM 8 TAKE & TALK FOR NOKIA ASHA 300",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",10
BURY,"UNI SYSTEM 8 TAKE&TALK FOR BLACKBERRY 9700/9780",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",3
BURY,"UNI SYSTEM 8 TAKE&TALK UNIVERSAL XL",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",36
BURY,"UNI TAKE & TALK FOR BLACKBERRY 9220/9320 CURVE",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",7
BURY,"UNI TAKE & TALK FOR BLACKBERRY BOLD 9790",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",8
BURY,"UNI TAKE&TALK FOR SAMSUNG GALAXY S4",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",1
"BUSH ","5.5 ENTRY V2",BER-Scrap,"Grade C - Acceptable Condition",4GB,Blue,Damaged,2
C-mii,1,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Canon,"DIGITAL IXUS 50",Working,"Grade C - Acceptable Condition","Not Applicable",Silver,"Not Applicable",1
Canon,"EOS 1200D DSLR + 18-55mm DC Lens",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
Canon,"EOS Rebel T1i / 500D 15.1 Megapixel Camera",Working,"Grade B B2B","Not Applicable",Black,"Not Applicable",1
Canon,"INK ROLLER PRINTING CALCULATOR - MP121-MG","Brand New","Insurance Grade","Not Applicable",White,"Not Applicable",1
Canon,"LEGRIA HV40",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Canon,"MINI DIGITAL VIDEO CAMCORDER MVX330I",Working,"Grade C - Acceptable Condition","Not Applicable",Silver,"Not Applicable",1
Canon,"PowerShot A4000 IS 16 MP",Working,"Grade C - Acceptable Condition","Not Applicable",Blue,"Not Applicable",1
Canon,"powershot A4050",Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",1
Canon,"PowerShot SX700 HS Superzoom 16 MP",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
"CASE POWER","BATTERY CASE - 14200 MAH",Working,"Grade A - Very Good Condition","Not Applicable",Blue,"Not Applicable",29
"CASE POWER","PORTABLE RECHARGEABLE BATTERY 5700MAH",Working,"Grade B - Good Condition","Not Applicable",Purple,"Not Applicable",42
CASE-MATE," SLIM TOUGH COVER CASE FOR SAMSUNG GALAXY S6",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",7
CASE-MATE,"BARELY THERE FOR IPHONE 5/5S",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",25
CASE-MATE,"BARELY THERE FOR SONY XPERIA Z1",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
CASE-MATE,"BRILLIANCE FOR APPLE IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable",Multicolour,"Not Applicable",58
CASE-MATE,"BRILLIANCE FOR APPLE IPHONE 6/6S - FBA UK","Brand New","Brand New","Not Applicable","ROSE GOLD","Not Applicable",5
CASE-MATE,"BRILLIANCE FOR IPHONE 5/5S/SE",Working,"Grade A - Very Good Condition","Not Applicable","ROSE GOLD","Not Applicable",76
CASE-MATE,"BRILLIANCE FOR IPHONE 5/5S/SE - FBA UK","Brand New","Brand New","Not Applicable","ROSE GOLD","Not Applicable",7
CASE-MATE,"BRILLIANCE TOUGH FOR APPLE IPHONE 6/6S/7",Working,"Grade A - Very Good Condition","Not Applicable",Gold,"Not Applicable",39
CASE-MATE,"FOLIO WRISTLET FOR IPHONE 6 PLUS/ 6S PLUS/ 7 PLUS",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",9
CASE-MATE,"FOLIO WRISTLET FOR IPHONE 6/6S/7",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",7
CASE-MATE,"LEATHER FOLIO CASE FOR IPHONE 6 - REBECCA MINKOFF",Working,"Grade A - Very Good Condition","Not Applicable",Pink,"Not Applicable",112
CASE-MATE,"NAKED TOUGH CASE FOR SAMSUNG GALAXY A3",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",1
CASE-MATE,"NAKED TOUGH CUSTOM FOR IPHONE 6/6S/7",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",5
CASE-MATE,"NAKED TOUGH IRIDESCENT FOR IPHONE 6/6S/7 ",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",7
CASE-MATE,"NAKED TOUGH WATERFALL FOR IPHONE 6/6S/7",Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",147
CASE-MATE,"SLIM TOUGH CASE FOR SAMSUNG A3",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",1
CASE-MATE,"TOUGH CASE FOR IPHONE 5/5S/5E",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",2
CASE-MATE,"TOUGH CASES FOR BLACKBERRY Q10",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",20
CASEIT,"ACCESSORY STARTER PACK FOR GALAXY S7 EDGE",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",6
CASEIT,"ESSENTIAL STARTER PACK FOR IPAD AIR","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",1
CASEIT,"ESSENTIAL STARTER PACK FOR IPAD MINI","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",2
CASEIT,"ESSENTIAL STARTER PACK FOR IPHONE 5S","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",1
CASEIT,"ESSENTIAL STARTER PACK FOR IPHONE 6 ","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",37
CASEIT,"ESSENTIAL STARTER PACK FOR IPHONE 6 - HARD SHELL ","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",2
CASEIT,"ESSENTIAL STARTER PACK FOR SAMSUNG GALAXY A3",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",3
CASEIT,"ESSENTIAL STARTER PACK FOR SAMSUNG GALAXY S5 MINI",Working,"Insurance Grade","Not Applicable",Clear,"Not Applicable",1
CASEIT,"ESSENTIAL STARTER PACK FOR UNIVERSAL ",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",5
CASEIT,"ESSENTIAL THE ULTIMATE STARTER PACK FOR IPHONE X","Brand New","Brand New","Not Applicable","ROSE GOLD","Not Applicable",3
CASEIT,"FLEXI FOR IPHONE 6S/6",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",3
CASEIT,"MACBOOK PRO 13 INCH HARDSHELL BK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",270
CASEIT,"MACBOOK PRO 15 IN HARDSHELL PINK","Brand New","Brand New","Not Applicable",Pink,"Not Applicable",101
CASEIT,"SCREEN PROTECTOR FOR IPHONE 4/4S","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",1
CASEIT,"SCREEN PROTECTOR FOR IPHONE 6 - 4.7''(TWIN PACK)","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",13
CASEIT,"SCREEN PROTECTOR FOR NOKIA LUMIA 630/635(TRIPLE PACK)","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",6
CASEIT,"UNIVERSAL FOLIO CASE BLACK 7-8 INCH","Brand New","Brand New","Not Applicable",Black,"Not Applicable",1
CASEIT,"UNIVERSAL FOLIO CASE WITH BUILT IN STAND FOR 10 INCH TABLET","Brand New","Brand New","Not Applicable",Purple,"Not Applicable",816
CAT,B15,Working,"Grade B - Good Condition",4GB,Black,Unlocked,1
"CATH KIDSTON","PARADISE FIELDS - UNIVERSAL MOBILE PHONE SLIP CASE","Brand New","Insurance Grade","Not Applicable",Multicolour,"Not Applicable",18
"CATH KIDSTON","POLKA DOT PHONE CASE FOR IPHONE 5/5S",Working,"Grade A - Very Good Condition","Not Applicable",Multicolour,"Not Applicable",3
"CATH KIDSTON","POLKA DOT PHONE CASE FOR SAMSUNG S6",Working,"Grade B - Good Condition","Not Applicable",Red,"Not Applicable",4
Cisco,1760,Working,"Grade B - Good Condition","Not Applicable",Green,"Not Applicable",3
Cisco,1811W,Working,"Grade B - Good Condition","Not Applicable",Green,"Not Applicable",17
Cisco,"2600 MODULAR ROUTER",Working,"Grade B - Good Condition","Not Applicable",Green,"Not Applicable",2
Cisco,2801,Working,"Grade B - Good Condition",Unknown,Black,"Not Applicable",2
Cisco,"2811 ROUTER",Working,"Grade B - Good Condition",Unknown,Black,"Not Applicable",2
Cisco,2821,Working,"Grade B - Good Condition",Unknown,Black,"Not Applicable",2
Cisco,2851,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Cisco,"2900 24 PORT",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",7
Cisco,"2950 24 PORT",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",42
Cisco,"2950 48 PORT",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",5
Cisco,"2960 24 PORT",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Cisco,"3550 24 PORT",Working,"Grade B - Good Condition",Unknown,Black,"Not Applicable",3
Cisco,3750,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",3
Cisco,880,Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",1
Cisco,AS2511-RJ,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Cisco,"CATALYST 2911",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Cisco,"CATALYST 2950 ",Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",3
Cisco,"CATALYST 2950 48 PORT",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",15
Cisco,"CATALYST 2960",Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",334
Cisco,"CATALYST 3560",Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",11
Cisco,VG224,Working,"Grade B - Good Condition","Not Applicable",Green,"Not Applicable",2
Cisco,"WS-C4500 SERIES",Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",2
CLARESTA,G6S,Working,"Grade B - Good Condition","Not Applicable",Grey,Unlocked,1
Compaq,D300,Working,"Grade B - Good Condition",256MB,Silver,"Not Applicable",2
Compaq,"EVO D310",Working,"Grade B - Good Condition",128MB,Silver,"Not Applicable",1
Compaq,H3870,"Power On Tested-Good LCD","Grade B B2B","Not Applicable",Silver,"Not Applicable",1
Compaq,"Presario CQ56",Non-working,"Not Graded",Unknown,Black,"Not Applicable",1
CREATIVE,D80,"Brand New","Brand New","Not Applicable",Blue,"Not Applicable",5
CROSSCOLL,"SHARK V2","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,19
"CUBOT ",S222,BER-Scrap,"Grade D","Not Applicable",Black,Damaged,1
CYP,"CHDMI-4 EE257","Brand New","Brand New","Not Applicable",Black,"Not Applicable",2
CYP,"CLUX-14S HDMI SPLITTER","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
CYP,"QU-14S HDMI SPLITTER","Brand New","Brand New","Not Applicable",Black,"Not Applicable",12
D-LINK,DES-1005D,"Brand New","Brand New","Not Applicable",Silver,"Not Applicable",1
D-LINK,DES-1016R,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
D-LINK,DES-1016R+,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
D-LINK,DES-1024D,Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",1
D-LINK,"DPR-1061 PRINTER SERVER","Brand New","Brand New","Not Applicable",Black,NOS-Portugal,2
D-LINK,DS-1016D,"Brand New","Insurance Grade","Not Applicable",Grey,"Not Applicable",10
"D.M.M. WALES","SCAFFOLD CARABINER 23KN",Working,"Grade B - Good Condition","Not Applicable",Green,"Not Applicable",15
DEADMAU5,"PORTABLE SPEAKER",Working,"Grade D","Not Applicable",Red,"Not Applicable",1
"DEDICATED MICRO'S","DS2P+DVD  16 WAY",Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",1
Dell,1707FPC,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",3
Dell,1905FP,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",6
Dell,1907FPC,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Dell,1908FPB,Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",3
Dell,1908WFP,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Dell,"1909WF /WB",Working,"Grade B - Good Condition",Unknown,Black,"Not Applicable",4
Dell,2007FPB,Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",1
Dell,2209WAF,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Dell,"7P365 VGA FEMALE TO DVI-A MALE ADAPTER","Brand New","Brand New","Not Applicable",White,"Not Applicable",72
Dell,"BUNDLE DELL 755",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",28
Dell,D820,Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",2
Dell,D830,Working,"Grade B - Good Condition",2GB,Silver,"Not Applicable",15
Dell,"DA130PE1-00(PA-4E) CHARGER",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",26
Dell,"DIMENSION C521",Working,"Grade B - Good Condition",1GB,Silver,"Not Applicable",1
Dell,"E-PORT II DOCKING STATION",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Dell,E170SB,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Dell,E172FPT,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Dell,E173FPB,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Dell,E173FPC,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Dell,"E176FPC LCD MONITOR",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Dell,E17FP,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Dell,"E1911C MONITOR",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Dell,E196FP,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",3
Dell,E198WFE,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",3
Dell,E198WFP,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",18
Dell,E5520,Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",2
Dell,E630,Working,"Grade B - Good Condition",2GB,Silver,"Not Applicable",1
Dell,E6500,Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",1
Dell,"INSPIRON 1010-8325",Non-working,Unknown,1GB,Black,"Not Applicable",1
Dell,"Inspiron 17R-5720 17.3\" Intel Core i5-3210M upto 3.1 GHz, 4Gb, 500Gb, DVD+/-RW, WLAN, Webcam, Win 7 64-bit",Working,"Grade A - Very Good Condition",8GB,Black,"Not Applicable",1
Dell,"LA130PM121(PA-4E) CHARGER",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",11
Dell,"LATITUDE D430",Working,"Grade B - Good Condition",1GB,Silver,"Not Applicable",1
Dell,"LATITUDE D531 - AMD TURION 64X2 TL-66, 2.30 GHZ, 4GB RAM, 160GB HDD",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",6
Dell,"LATITUDE D531 - AMD TURION 64X2 TL-66, 2.30GHZ, 4GB RAM, 250GB HDD",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",2
Dell,"LATITUDE D531 - AMD TURION 64X2 TL-66, 2.30GHZ, 4GB RAM, 80GB HDD",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",52
Dell,"Latitude E5400",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",5
Dell,"LATITUDE E5410",Working,"Grade B - Good Condition",4GB,Grey,"Not Applicable",1
Dell,"Latitude E5420",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",2
Dell,"LATITUDE E5450",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",7
Dell,"LATITUDE E5500",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",118
Dell,"LATITUDE E5500 - INTEL CORE 2 DUO P8400, 2.26 GHZ, 2GB RAM, 160GB HDD",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",1
Dell,"LATITUDE E5500 - INTEL CORE 2 DUO P8400, 2.26GHZ, 4GB RAM, 160GB HDD",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",1
Dell,"LATITUDE E5500 - INTEL CORE 2 DUO T7250, 2.00GHZ, 4GB RAM, 160GB HDD, WINDOWS 7 PRO",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",1
Dell,"LATITUDE E5510",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",65
Dell,"LATITUDE E5510 - INTEL CORE I3 M350, 2,27GHZ, 4GB RAM, 250GB HDD, WINDOWS 7 PRO",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",8
Dell,"LATITUDE E5510 INTEL CORE I3 M370 2.40GHZ RAM 4GB HDD 250GB",Working,"Grade B - Good Condition",4GB,Grey,"Not Applicable",2
Dell,"LATITUDE E5530",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",3
Dell,"LATITUDE E5540",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",7
Dell,"Latitude E6320",Working,"Grade B - Good Condition",4GB,"Bluish Black","Not Applicable",197
Dell,"LATITUDE E6320 -  INTEL CORE I3 M2330, 2.20 GHZ, 4GB RAM, 250GB HDD",Working,"Grade B - Good Condition",4GB,Grey,"Not Applicable",3
Dell,"LATITUDE E6320 - INTEL CORE I3 M2330, 2.20GHZ, 4GB RAM, 160GB HDD",Working,"Grade B - Good Condition",4GB,Grey,"Not Applicable",3
Dell,"LATITUDE E6330",Working,"Grade B - Good Condition",4GB,Blue,"Not Applicable",494
Dell,"LATITUDE E6330 INTEL CORE I5 M3340, 2.70 GHZ, 4GB RAM, 320GB HDD",Working,"Grade B - Good Condition",4GB,Grey,"Not Applicable",1
Dell,"LATITUDE E6410",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",1
Dell,"LATITUDE E6420",Working,"Grade B - Good Condition",8GB,Silver,"Not Applicable",1
Dell,"LATITUDE E7440",Working,"Grade A - Very Good Condition",8GB,"Aluminium Silver","Not Applicable",2
Dell,"LATITUDE L13 P08S - INTEL DUO CORE U7300, 1.3 GHZ, 4GB RAM, 160 GB HDD, WINDOWS 7 PRO",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",24
Dell,"LATTITUDE 13",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",78
Dell,"LATTITUDE D531",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",107
Dell,"LATTITUDE E6330",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",2
Dell,"OPTIPLEX 330",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",2
Dell,"OPTIPLEX 380",Working,"Grade B - Good Condition",2GB,Silver,"Not Applicable",9
Dell,"OPTIPLEX 390 ",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",3
Dell,"OPTIPLEX 7010",Working,"Grade B - Good Condition",16GB,Black,"Not Applicable",2
Dell,"OPTIPLEX 740",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",1
Dell,"OPTIPLEX 745",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",2
Dell,"OPTIPLEX 755",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",2242
Dell,"OPTIPLEX 760",Working,"Grade B - Good Condition",4GB,Grey,"Not Applicable",2
Dell,"OPTIPLEX 780",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",193
Dell,"OPTIPLEX 790",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",1
Dell,"OPTIPLEX 960",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",1
Dell,"OPTIPLEX GX620",Working,"Grade B - Good Condition",512MB,Black,"Not Applicable",2
Dell,P1911B,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",3
Dell,P1914S,Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",1
Dell,P2010HT,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",8
Dell,P2211HT,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Dell,"POWEREDGE 2950",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",1
Dell,"POWEREDGE SC440",Working,"Grade B - Good Condition",512MB,Black,"Not Applicable",1
Dell,PR01X,"Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
Dell,"PRECISION 390",Working,"Grade B - Good Condition",8GB,Silver,"Not Applicable",2
Dell,"PRECISION 490",Working,"Grade B - Good Condition",Unknown,Black,"Not Applicable",1
Dell,"PRECISION T1700",Working,"Grade B - Good Condition",6GB,Black,"Not Applicable",1
Dell,"PRECISION T5500",Working,"Grade B - Good Condition",Unknown,Black,"Not Applicable",1
Dell,"PREMIUM SECURITY CABLE LOCK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",2
Dell,PRO1X,"Brand New","Brand New","Not Applicable",Black,"Not Applicable",1
Dell,U2312HMT,Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",1
Dell,"VGA FEMALE TO DVI-A MALE ADAPTER","Brand New","Brand New","Not Applicable",White,"Not Applicable",29
Dell,"VOSTRO 3500",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",1
Dell,"VOSTRO PP37L","iOS 7 Locked","Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",1
Dell,"VOSTRO V131",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",1
Dell,"WIRELESS UK TABLET KEYBOARD MODEL K07M",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",7
"DESPICABLE ME MINION MADE","10'' TABLET FOLIO CASE COMPATIBLE WITH IPAD 2,3 & 4","Brand New","Brand New","Not Applicable",Multicolour,"Not Applicable",10
DGM,"L-1935WD MONITOR",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
DISNEY,"INFINITY INCREDIBLES - VIOLET",Working,"Grade A - Very Good Condition","Not Applicable",Multicolour,"Not Applicable",1
DOOGEE,"X5 MAX",BER-Scrap,"Grade D",8GB,Black,Damaged,3
Doro," PHONE EASY 506",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Doro," PHONE EASY 631",Working,"Grade B - Good Condition","Not Applicable","ROSE GOLD",Unlocked,17
Doro," PHONE EASY 632","Brand New","Insurance Grade","Not Applicable",Pink,Unlocked,7
Doro,409s,Working,"Grade A - Very Good Condition","Not Applicable",White,Foreign,1
